#
#
# US Geological Survey
# retrieved: 2020-01-25 17:36:39 EST
# URL: https://nwis.waterdata.usgs.gov/co/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Colorado.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  map_nm          -- Name of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#
#
# query started 2020-01-25 17:36:39 EST
#
# there are 339 sites matching the search criteria.
#
#
site_no	station_nm	lat_va	long_va	coord_acy_cd	coord_datum_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	map_nm	alt_va	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	peak_begin_date	peak_end_date	peak_count_nu
06710247	SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C	393757	1050052	F	NAD27	39.63248760	-105.01498300	F	NAD83	08	FORT LOGAN QUAD	 5290			10190002	co01	1996-05-26	2018-07-24	23
06710385	BEAR CREEK ABOVE EVERGREEN, CO	393759.40	1052013.00	S	NAD83	39.63316667	-105.33694440	S	NAD83	08	EVERGREEN, CO	 7080			10190002	co01	1984-08-26	2019-06-22	36
06710605	BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO	393907.3	1051023.7	5	NAD83	39.65202778	-105.17325000	5	NAD83	08	MORRISON, CO	 5645			10190002	co01	1986-06-10	2019-07-15	34
06711040	TURKEY CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON C	393826.55	1050933.66	T	NAD83	39.64070830	-105.15935000	T	NAD83	08	MORRISON, CO	 5654			10190002	co01	1986-07-31	1989-02-25	4
06711515	LITTLE DRY CREEK NR ARAPAHOE RD AT CENTENNIAL, CO	393537.45	1045423.4	5	NAD83	39.59373610	-104.90650000	5	NAD83	08	HIGHLANDS RANCH, CO	 5600			10190002	co01	1985-07-19	2019-09-06	34
06711555	LITTLE DRY CREEK ABOVE ENGLEWOOD, CO	393857	1045842	F	NAD27	39.64915420	-104.97887050	F	NAD83	08	ENGLEWOOD, CO	 5420			10190002	co01	1982	2019-09-06	37
06711565	SOUTH PLATTE RIVER AT ENGLEWOOD, CO.	393954	1050013	M	NAD27	39.66498738	-105.00414900	M	NAD83	08		 5250			10190002	co01	1983-08-05	2019-07-01	37
06711570	HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO	394009.13	1045633.03	S	NAD83	39.66920278	-104.94250830	S	NAD83	08	ENGLEWOOD, CO	 5400			10190002		1981-05-28	2018-07-24	37
06711575	HARVARD GULCH AT HARVARD PARK AT DENVER, CO	394018.20	1045837.30	S	NAD83	39.67172220	-104.97702780	S	NAD83	08	ENGLEWOOD, CO	 5320			10190002	co01	1981-05-28	2019-08-21	39
06711618	WEIR GULCH UPSTREAM FROM 1ST AVE. AT DENVER, CO	394302.09	1050231.24	5	NAD83	39.71724720	-105.04201110	5	NAD83	08	FORT LOGAN, CO	 5295			10190002	co01	1987	2019-08-21	32
06711770	DRY GULCH AT DENVER, CO	394403.75	1050222.40	F	NAD83	39.73437500	-105.03955560	F	NAD83	08	FORT LOGAN, CO	 5250			10190002	co01	1981-05-03	2018-09-05	37
06711780	LAKEWOOD GULCH AT DENVER, CO	394406.70	1050152.90	5	NAD83	39.73519444	-105.03136110	5	NAD83	08	FORT LOGAN, CO	 5220			10190002	co01	1981-05-03	2019-07-20	38
06712000	CHERRY CREEK NEAR FRANKTOWN, CO.	392121	1044546	F	NAD27	39.35582340	-104.76330920	F	NAD83	08		 6150.00			10190003	co01	1940-06-06	2019-03-08	80
06713000	CHERRY CREEK BELOW CHERRY CREEK LAKE, CO	393913	1045145	M	NAD27	39.65359899	-104.86303260	M	NAD83	08		 5487.51			10190003	co01	1950-07-25	2019-05-22	60
06713500	CHERRY CREEK AT DENVER, CO.	394433	1045958	M	NAD27	39.74248685	-104.99998170	M	NAD83	08		 5180.48			10190003	co01	1885-07-26	2019-08-21	69
06714215	SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.	394844	1045728	F	NAD27	39.81220846	-104.95831290	F	NAD83	08		 5105.00			10190003	co01	1982-08-05	2019-08-21	38
06714360	SAND CRK ABV BURLINGTON DITCH NR COMMERCE CITY, CO	394836.90	1045701.20	F	NAD83	39.81025000	-104.95033330	F	NAD83	08	COMMERCE CITY, CO	 5122			10190003	co01	2013-09-12	2018-07-23	5
06714400	S CLEAR CR ABV LOWER CABIN CR RES NR GEORGETOWN,CO	393856.42	1054226.94	5	NAD83	39.64900556	-105.70748330	5	NAD83	08	GEORGETOWN, CO	 10060			10190004	co01	1995-06-18	2018-05-10	8
06714500	S CLEAR CR ABV LWR CABIN CR RES SPILWY NR GEORGTWN	393947.16	1054222.78	5	NAD83	39.66310000	-105.70632780	5	NAD83	08	GEORGETOWN, CO	 9969			10190004	co01	2015-06-20	2018-06-18	4
06714800	LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO	394114	1054159	F	NAD27	39.68720955	-105.70028210	F	NAD83	08	GEORGETOWN, CO	 9280			10190004	co01	1995-07-12	2018-05-27	24
06715000	CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO	394507	1053941	F	NAD27	39.75193190	-105.66194700	F	NAD83	08	EMPIRE	 8280			10190004	co01	1995-06-17	2018-05-27	24
06716100	WEST FORK CLEAR CREEK ABV MOUTH NR EMPIRE, CO	394532	1053934	F	NAD27	39.75887636	-105.66000250	F	NAD83	08	EMPIRE	 8235			10190004	co01	1995-06-18	2019-07-01	25
06716500	CLEAR CREEK NEAR LAWSON, CO	394557	1053732	F	NAD27	39.76582090	-105.62611230	F	NAD83	08	EMPIRE, CO	 8070.52			10190004	co01	1946-06-12	2019-07-01	66
06718550	NORTH CLEAR CREEK ABOVE MOUTH NR BLACK HAWK, CO	394456	1052357	F	NAD27	39.74887674	-105.39971590	F	NAD83	08	SQUAW PASS	 6910			10190004	co01	1995-06-02	2018-07-12	24
06719505	CLEAR CREEK AT GOLDEN, CO	394511	1051405	F	NAD27	39.75304299	-105.23526670	F	NAD83	08	GOLDEN, CO	 5695			10190004	co01	1975-07-09	2019-07-02	45
06719560	LENA GULCH AT LAKEWOOD, CO	394425.45	1050855.8	5	NAD83	39.74040278	-105.14883330	5	NAD83	08	MORRISON, CO	 5610			10190004	co01	1973-10-12	2018-07-15	38
06719840	LITTLE DRY CREEK AT WESTMINSTER, CO	394935.59	1050224.23	5	NAD83	39.82655278	-105.04006390	5	NAD83	08	ARVADA, CO	 5275			10190004	co01	1982	2018-08-18	35
06720460	FIRST CR BEL BUCKLEY RD, AT ROCKY MTN ARSENAL, CO	394829	1044736	S	NAD27	39.80804210	-104.79386180	S	NAD83	08	MONTBELLO, CO	 5289.63			10190003	co01	2011-05-12	2019-07-02	9
06720820	BIG DRY CREEK AT WESTMINSTER, CO	395420.45	1050207.40	S	NAD83	39.90568056	-105.03538890	S	NAD83	08	LAFAYETTE, CO	 5215			10190003	co01	1987-08-23	2018-05-03	31
06720990	BIG DRY CREEK AT MOUTH NEAR FORT LUPTON, CO	400407.80	1044955.15	S	NAD83	40.06883330	-104.83198610	S	NAD83	08	FORT LUPTON, CO	 4900			10190003	co01	1992-08-25	2018-05-04	27
06721000	SOUTH PLATTE RIVER AT FORT LUPTON, CO.	400658	1044905	R	NAD27	40.11609435	-104.81858310	R	NAD83	08	FORT LUPTON, CO	 4860			10190003	co01	1929-08-09	2018-07-24	45
06724970	LEFT HAND CREEK AT HOVER ROAD NEAR LONGMONT, CO	400803.40	1050750.95	M	NAD83	40.13427778	-105.13081940	M	NAD83	08	HYGIENE, CO	 4994			10190005	co01	2014-05-25	2018-05-28	5
06727500	FOURMILE CREEK AT ORODELL, CO	400107.2	1051934.5	5	NAD83	40.01866667	-105.32625000	5	NAD83	08	BOULDER, CO	 5750			10190005	co01	1947-06-22	2018-05-18	27
06730160	FOURMILE CANYON CREEK NEAR SUNSHINE, CO	400327.4	1052055.6	S	NAD83	40.05761110	-105.34877780	S	NAD83	08	BOULDER, CO	 6639			10190005	co01	2012-07-30	2018-05-30	7
06730200	BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO	400306	1051042	M	NAD27	40.05165184	-105.17887540	M	NAD83	08		 5106			10190005	co01	1987-06-09	2018-05-18	32
06730500	BOULDER CREEK AT MOUTH NEAR LONGMONT, CO	400819.6	1050112.8	5	NAD83	40.13877778	-105.02022220	5	NAD83	08	LONGMONT, CO	 4860			10190005	co01	1927-07-29	2018-05-03	67
06730525	ST VRAIN CR BLW BOULDER CR AT HWY 119 NR LONGMONT	400937.68	1050028.57	T	NAD83	40.16046667	-105.00793610	T	NAD83	08	LONGMONT, CO	 4849			10190005	co01	2014-06-01	2019-07-02	6
06741510	BIG THOMPSON RIVER AT LOVELAND, CO.	402243	1050338	F	NAD27	40.37859460	-105.06109090	F	NAD83	08		 4906.00			10190006	co01	1979-08-19	2018-05-28	40
06746095	JOE WRIGHT CREEK ABOVE JOE WRIGHT RESERVOIR, CO	403224	1055256	F	NAD27	40.53998220	-105.88279000	F	NAD83	08	CLARK PEAK, CO	 9990			10190007	co01	1979-06-15	2018-06-06	40
06746110	JOE WRIGHT CREEK BELOW JOE WRIGHT RESERVOIR, CO	403343	1055148	M	NAD27	40.56192640	-105.86390000	M	NAD83	08	CHAMBERS LAKE, CO	 9710			10190007	co01	1978-06-30	2018-06-09	41
06751150	N FK CACHE LA POUDRE R BLW HALLIGAN RES NR VA DALE	405242	1052015	F	NAD27	40.87831637	-105.33804110	F	NAD83	08	VIRGINIA DALE, CO	 6310			10190007		1999-04-30	2018-05-11	20
06751490	NORTH FORK CACHE LA POUDRE RIVER AT LIVERMORE, CO	404715	1051506	F	NAD27	40.78748150	-105.25220470	F	NAD83	08		 5715			10190007	co01	1987-05-24	2018-05-14	32
06752260	CACHE LA POUDRE RIVER AT FORT COLLINS, CO	403517.10	1050409.20	5	NAD83	40.58808330	-105.06922220	5	NAD83	08	FORT COLLINS, CO	 4940			10190007	co01	1975-06-19	2019-07-01	45
06752280	CACHE LA POUDRE RIV AB BOXELDER CRK NR TIMNATH, CO	403307	1050039	M	NAD27	40.55192690	-105.01136500	M	NAD83	08	FORT COLLINS	 4860			10190007	co01	1980-05-25	2019-06-22	40
06759500	SOUTH PLATTE RIVER AT FORT MORGAN, CO	401606.25	1034804.29	5	NAD83	40.26840278	-103.80119170	5	NAD83	08	Fort Morgan, CO	 4246.09			10190012	co01	1935-05-31	2019-06-24	34
07079300	EF ARKANSAS R AT US HIGHWAY 24, NR LEADVILLE, CO.	391621	1061821	F	NAD27	39.27248920	-106.30641330	F	NAD83	08		 9900.00			11020001	co02	1990-06-08	2018-05-25	29
07081200	ARKANSAS RIVER NEAR LEADVILLE, CO	391456.4	1062053.2	5	NAD83	39.24900000	-106.34811110	5	NAD83	08	Leadville South	 9665			11020001	co02	1968-06-06	2018-05-26	45
07083000	HALFMOON CREEK NEAR MALTA, CO	391020	1062319	F	NAD27	39.17221259	-106.38919260	F	NAD83	08	MOUNT MASSIVE, CO	 9830			11020001	co02	1947-06-21	2018-05-25	72
07083200	HALFMOON CR BL HALFMOON DIVERSION NR LEADVILLE, CO	391108.6	1062300.1	S	NAD83	39.18572220	-106.38336110	S	NAD83	08	MOUNT MASSIVE, CO	 9720			11020001	co02	2009-06-26	2018-05-25	10
07083710	ARKANSAS RIVER BELOW EMPIRE GULCH NEAR MALTA, CO	390950	1061910	F	NAD27	39.16387980	-106.32002400	F	NAD83	08	LEADVILLE SOUTH	 9280			11020001	co02	1990-06-10	2018-05-26	19
07086000	ARKANSAS RIVER AT GRANITE, CO.	390234	1061555	F	NAD27	39.04277116	-106.26585530	F	NAD83	08		 8914.86			11020001	co02	1897-06-04	2007-06-19	99
07087050	ARKANSAS RIVER BELOW GRANITE, CO	385942	1061311	R	NAD27	38.99499430	-106.22029830	R	NAD83	08		 8620			11020001	co02	1999-06-25	2018-05-26	20
07091200	ARKANSAS RIVER NEAR NATHROP, CO	383908	1060302	F	NAD27	38.65221880	-106.05112600	F	NAD83	08	NATHROP, CO	 7350			11020001	co02	1965-07-13	2018-05-18	48
07094500	ARKANSAS RIVER AT PARKDALE, CO.	382914	1052223	F	NAD27	38.48721890	-105.37360400	F	NAD83	08		 5714.30			11020001	co02	1946-07-15	2018-07-24	64
07096000	ARKANSAS RIVER AT CANON CITY, CO.	382602	1051524	F	NAD27	38.43388674	-105.25721280	F	NAD83	08		 5342.13			11020002	co02	1889-08-09	2018-07-23	130
07096250	FOURMILE CREEK BELOW CRIPPLE CREEK NEAR VICTOR, CO	383950	1051339	F	NAD27	38.66388094	-105.22804100	F	NAD83	08		 6870			11020002	co02	1993-06-02	2018-07-05	26
07097000	ARKANSAS RIVER AT PORTLAND, CO.	382318	1050056	F	NAD27	38.38833418	-105.01609610	F	NAD83	08		 5021.59			11020002	co02	1939-08-19	2007-06-26	48
07099050	BEAVER CR ABV UPPER BEAVER CEMETERY NR PENROSE, CO	383342	1050117	F	NAD27	38.56166228	-105.02192570	F	NAD83	08	PHANTOM CANYON	 6020			11020002	co02	1991-09-04	2018-09-05	24
07099060	BEAVER CREEK ABOVE HIGHWAY 115 NEAR PENROSE, CO	382921	1045949	F	NAD27	38.48916580	-104.99748320	F	NAD83	08	PIERCE GULCH	 5660.			11020002	co02	1991-09-04	2018-09-05	28
07099085	RED CREEK ABOVE SALT CANYON AT FORT CARSON, CO	382844.3	1045626.0	B	NAD83	38.47897220	-104.94055560	B	NAD83	08	PIERCE GULCH, CO	 5629			11020002	co02	2015-06-17	2018-09-05	4
07099230	TURKEY CREEK AB TELLER RES NEAR STONE CITY, CO.	382754	1044936	F	NAD27	38.46499989	-104.82720090	F	NAD83	08		 5520.00			11020002	co02	1978-08-29	2017-10-01	38
07099238	TELLER RESERVOIR SPILLWAY NEAR STONE CITY, CO	382620	1044915	F	NAD83	38.43888889	-104.82083330	F	NAD83	08		 5480			11020002	co02	2001-06-21	2018-04-01	15
07099400	ARKANSAS RIVER ABOVE PUEBLO, CO	381618	1044303	F	NAD27	38.27166940	-104.71803300	F	NAD83	08	NORTHWEST PUEBLO, CO	 4740			11020002	co02	1966-08-01	2007-05-19	42
07099970	ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO, CO	381513	1043620	F	NAD27	38.25361396	-104.60608540	F	NAD83	08	NE PUEBLO	 4653			11020002	co02	1989-07-14	2018-07-23	30
07099973	ARKANSAS RIVER TRIBUTARY ABOVE HWY 227 AT PUEBLO	381514	1043545	S	NAD83	38.25388889	-104.59583330	S	NAD83	08	NORTHEAST PUEBLO	 4640			11020002	co02	--	--	0
07100300	FOUNTAIN CREEK AT CASCADE, CO	385349.5	1045818.4	M	NAD83	38.89708330	-104.97177780	M	NAD83	08	CASCADE, CO	 7372			11020003	co02	2013-09-12	2018-07-23	6
07100750	WALDO CANYON ABV MOUTH NEAR MANITOU SPRINGS, CO	385317.2	1045608.5	M	NAD83	38.88811110	-104.93569440	M	NAD83	08	CASCADE, CO	 7391			11020003	co02	2014-07-16	2018-07-23	5
07103100	WILLIAMS CANYON ABV MOUTH NEAR MANITOU SPRINGS, CO	385319.69	1045507.77	T	NAD83	38.88880278	-104.91882500	T	NAD83	08	CASCADE, CO	 7120			11020003	co02	2014-07-19	2018-07-23	5
07103700	FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.	385117	1045239	F	NAD27	38.85471357	-104.87803140	F	NAD83	08		 6110.00			11020003	co02	1958-07-05	2018-07-23	61
07103703	CAMP CREEK AT GARDEN OF THE GODS, CO	385237	1045220	F	NAD27	38.87693609	-104.87275430	F	NAD83	08	PIKEVIEW,CO	 6310			11020003	co02	1992-06-05	2018-08-14	27
07103780	MONUMENT C AB N.GATE BLVD AT USAF ACADEMY, CO.	390151.7	1045047.8	F	NAD83	39.03102778	-104.84661110	F	NAD83	08		 6640			11020003	co02	1985-04-30	2018-08-17	34
07103784	GOAT CAMP CREEK ABV RESERVOIR NO. 4 AT USAFA, CO	390032.00	1045353.16	F	NAD83	39.00888889	-104.89810000	F	NAD83	08	PALMER LAKE, CO	 7230			11020003	co02	2018-04-01	2018-04-01	1
07103791	LEHMAN RUN BLW STADIUM BLVD AT USAFA, CO	390000.28	1045016.23	M	NAD83	39.00007778	-104.83784170	M	NAD83	08	MONUMENT, CO	 6580			11020003	co02	2018-04-01	2018-04-01	1
07103792	RESERVOIR NO. 1 SPILLWAY AT HUSTED RD AT USAFA, CO	390004.44	1045002.44	M	NAD83	39.00123330	-104.83401110	M	NAD83	08	MONUMENT, CO	 6580			11020003	co02	2018-04-01	2018-04-01	1
07103797	WEST MONUMENT CREEK BELOW RAMPART RESERVOIR, CO	385830	1045718	F	NAD27	38.97499176	-104.95553740	F	NAD83	08		 8710			11020003	co02	1994-12-14	2018-07-23	24
07103800	WEST MONUMENT CREEK AT U.S. AIR FORCE ACADEMY, CO	385814	1045408	F	NAD27	38.97054766	-104.90275800	F	NAD83	08	CASCADE, CO	 7180			11020003	co02	1970-05-20	2018-07-23	49
07103960	KETTLE CREEK ABOVE USAF ACADEMY, CO	385834	1044755	5	NAD83	38.97611110	-104.79861110	5	NAD83	08	PIKEVIEW, CO	 6620			11020003	co02	2000-07-17	2018-07-15	14
07103965	PINE CREEK ABV BRIARGATE PKWY,ABV COLO SPRINGS, CO	385803.01	1044738.46	F	NAD83	38.96750278	-104.79401670	F	NAD83	08	PIKEVIEW, CO	 6590			11020003	co02	2018-07-23	2018-07-23	1
07103970	MONUMENT CR ABV WOODMEN RD AT COLORADO SPRINGS, CO	385602	1044900	F	NAD27	38.93388170	-104.81719920	F	NAD83	08	PIKEVIEW	 6270			11020003	co02	1997-08-12	2018-08-14	22
07103980	COTTONWOOD CREEK AT WOODMEN RD NR COLO SPRINGS, CO	385622	1044426	F	NAD27	38.93943809	-104.74108630	F	NAD83	08	FALCON NW, CO	 6680			11020003	co02	1992-08-24	2018-07-26	27
07103987	COTTONWOOD CK AT UNION BLVD, AT COLO SPRINGS, CO	385549.30	1044634.14	F	NAD83	38.93036110	-104.77615000	F	NAD83	08	PIKEVIEW, CO	 6485			11020003	co02	1969-12-31	2018-07-26	2
07103990	COTTONWOOD CREEK AT MOUTH AT PIKEVIEW, CO	385538	1044851	5	NAD83	38.92722220	-104.81416670	5	NAD83	08	PIKEVIEW, CO	 6240			11020003	co02	1986-08-21	2018-07-26	33
07104000	MONUMENT CREEK AT PIKEVIEW, CO.	385504	1044905	F	NAD27	38.91777057	-104.81858770	F	NAD83	08		 6203.26			11020003	co02	1935-05-30	2018-07-26	55
07104905	MONUMENT CREEK AT BIJOU ST. AT COLO. SPRINGS, CO	385014	1044944	F	NAD27	38.83721474	-104.82941920	F	NAD83	08		 5980			11020003	co02	2003-08-31	2018-05-18	16
07105000	BEAR CREEK NEAR COLORADO SPRINGS, CO	384921	1045317	F	NAD27	38.82249078	-104.88858600	F	NAD83	08	MANITOU SPRINGS,CO	 6520			11020003	co02	1992-05-28	2018-07-23	27
07105490	CHEYENNE CREEK AT EVANS AVE AT COLORADO SPRINGS,CO	384726	1045149	F	NAD27	38.79054685	-104.86414040	F	NAD83	08	COLO SPRINGS, CO	 6280			11020003	co02	1992-05-13	2018-07-23	27
07105500	FOUNTAIN CREEK AT COLORADO SPRINGS, CO	384859	1044920	F	NAD27	38.81638158	-104.82275190	F	NAD83	08	COLORADO SPRINGS, CO	 5900			11020003	co02	1976-08-02	2018-07-23	43
07105530	FOUNTAIN CR BLW JANITELL RD BLW COLO. SPRINGS, CO	384811	1044743	F	NAD27	38.80304910	-104.79580690	F	NAD83	08	COLORADO SPRINGS, CO	 5840			11020003	co02	1990-05-29	2018-07-23	29
07105600	SAND CREEK ABOVE MOUTH AT COLORADO SPRINGS, CO	384718	1044624	S	NAD27	38.78832768	-104.77386200	S	NAD83	08	COLORADO SPRINGS	 5837			11020003	co02	2003-08-31	2018-07-23	16
07105780	B DITCH DRAIN NEAR SECURITY, CO.	384509	1044543	F	NAD27	38.75249500	-104.76247230	F	NAD83	08		 5724.00			11020003		1981-08-15	2018-07-23	10
07105800	FOUNTAIN CREEK AT SECURITY, CO	384346	1044400	F	NAD27	38.72944040	-104.73386110	F	NAD83	08	FOUNTAIN, CO	 5640			11020003	co02	1965-07-24	2018-07-23	54
07105815	CLOVER DITCH DRAIN AT QUINN ST NR WIDEFIELD, CO	384347	1044603.5	1	NAD83	38.72972220	-104.76763890	1	NAD83	08	CHEYENNE MOUNTAIN, C	 5745			11020003		2017-09-23	2018-07-23	2
07105820	CLOVER DITCH DRAIN NEAR WIDEFIELD, CO.	384307	1044343	F	NAD27	38.71860726	-104.72913900	F	NAD83	08		 5620.00			11020003		1981-08-15	2018-06-13	10
07105900	JIMMY CAMP CREEK AT FOUNTAIN, CO.	384104	1044117	F	NAD27	38.68444130	-104.68858300	F	NAD83	08		 5530.00			11020003	co02	1965-06-17	2018-07-23	44
07105940	LITTLE FOUNTAIN CREEK NEAR FOUNTAIN, CO	383833.54	1044454.18	5	NAD83	38.64265000	-104.74838330	5	NAD83	08	FOUNTAIN, CO	 5566			11020003	co02	1978-06-07	2018-08-17	17
07106000	FOUNTAIN CREEK NEAR FOUNTAIN, CO.	383606	1044011	F	NAD27	38.60166470	-104.67025030	F	NAD83	08		 5355			11020003	co02	1939-08-02	2018-07-24	51
07106300	FOUNTAIN CREEK NEAR PINON, CO	382546	1043553	F	NAD83	38.42944444	-104.59805560	F	NAD83	08	PINON, CO	 4990			11020003	co02	1973-05-07	2018-07-24	46
07106500	FOUNTAIN CREEK AT PUEBLO, CO.	381716	1043602	F	NAD27	38.28778010	-104.60108490	F	NAD83	08		 4705			11020003	co02	1921-06-04	2018-07-24	79
07108900	ST. CHARLES RIVER AT VINELAND, CO.	381444	1042909	F	NAD27	38.24555835	-104.48635970	F	NAD83	08		 4581.58			11020002	co02	1979-08-10	2018-07-28	40
07109500	ARKANSAS RIVER NEAR AVONDALE, CO.	381453	1042355	F	NAD27	38.24805799	-104.39913560	F	NAD83	08		 4509.53			11020002	co02	1939-05-26	2018-07-24	67
07116500	HUERFANO RIVER NEAR BOONE, CO.	381330	1041537	F	NAD27	38.22500240	-104.26079960	F	NAD83	08		 4443.74			11020006	co02	1922-08-04	2018-08-07	43
